source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,capacity_units,capacity,capacity_factor,annual_emissions_co2e_t,year,annual_capacity_t,annual_output_t,distance_km,SiteID,CompanyName,SiteName,City,Country,Subsector,Emissions_ETS_2014,production_2014_t,Fuel_Demand,Excess_Heat_Total,hm_lat,hm_lon,name_similarity,match_confidence,output_ratio_2024_2014
38475947,Huber,Cut & Sew|Knit Composite|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,47.4223539,13.8752059,USD,,,9237.590048999526,2024,,,,,,,,,,,,,,,,,unmatched,
38480512,Jungbunzlauer Austria Ag,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.721222,16.27811,USD,,,310618.95592758583,2024,,,,,,,,,,,,,,,,,unmatched,
32437240,Kirchdorfer Cement Plant,integrated dry,AUT,manufacturing,cement,47.9087598061799,14.1163799202923,t of cement,500000.0000400001,0.5105250397791579,149882.4938,2024,500000.0000400001,255262.51990999997,0.19384065257188293,11.0,Kirchdorfer Zementbeteiligungs G,Kirchdorfer Zementwerk Hofmann GmbH,Kirchdorf an der Krems,Austria,Cement,203595.0,373636.78,363.25,54.48,47.907205,14.117556,0.7083333333333334,high,0.6831835985472307
44375328,"Laakirchen Papier AG, Heinzel Group",Pulp misc.,AUT,manufacturing,pulp-and-paper,47.9770957,13.8161934,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,2024,337999.99999,260039.19997,0.6945624422458652,23.0,UPM Kymmene,UPM Kymmene Austria GmbH,Steyrermühl,Austria,Paper and printing,79249.0,,,0.0,47.983334,13.816667,0.24,high,
45257135,Linz Melamine and Fertilizers Complex,ammonia,AUT,manufacturing,chemicals,48.2895958,14.3307955,t of chemical,1499999.9999999998,0.2533333333333333,752400.0,2024,1499999.9999999998,379999.9999999999,0.23553298156548935,1101.0,DSM Life Science Products Intern,DSM Fine Chemicals Austria Nfg GmbH & Co KG,Linz,Austria,Chemical industry,,,,0.0,48.288055,14.328611,0.26865671641791045,high,
1895156,Mannersdorf Cement Plant,integrated dry,AUT,manufacturing,cement,47.9836888240867,16.6070562287626,t of cement,1200000.00027,0.5822887680356518,313384.321305,2024,1200000.00027,698746.5218000001,0.5266588708135816,9.0,Lafarge SA,Lafarge Zementwerke GmbH,Mannersdorf,Austria,Cement,594014.0,1090132.28,1059.85,158.97,47.983334,16.6,0.43243243243243246,high,0.6409740676608531
44375330,Mondi Neusiedler GmbH,Chemical wood pulp; Mechanical and semi-chemical wood pulp,AUT,manufacturing,pulp-and-paper,48.0732305,14.8091594,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,2024,337999.99999,260039.19997,0.3384405752616202,21.0,Mondi,Mondi Neusiedler GmbH,Ulmerfeld-Hausmening,Austria,Paper and printing,94585.0,,,0.0,48.070251,14.808229,1.0,high,
18648341,"OMV AG , Schwechat ",Flex Integrated,AUT,manufacturing,petrochemical-steam-cracking,48.139922,16.512808,t of ethylene,500000.00004,0.7535149998597187,626939.1607500002,2024,500000.00004,376757.49996,0.695602730470296,13.0,Borealis AG,Borealis Polyolefine GmbH,Schwechat,Austria,Chemical industry,14510.0,,,0.0,48.136,16.520111,0.19047619047619047,high,
44375331,"Papierfabrik Wattens GmbH & Co KG, delfort",Semi-chemical wood pulp,AUT,manufacturing,pulp-and-paper,47.2969362,11.5903444,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,2024,337999.99999,260039.19997,0.18077079692186893,1649.0,Papierfabrik Wattens GmbH & Co KG,Papierfabrik Wattens,Wattens,Austria,Paper and printing,23794.0,90201.29,137.8,13.78,47.295513,11.591503,0.6363636363636364,high,2.882876730144325
32437242,Retznei Cement Plant,integrated dry,AUT,manufacturing,cement,46.7375344612225,15.5733587435471,t of cement,625000.0000100001,0.7106571786414294,348954.88275899994,2024,625000.0000100001,444160.736658,1.1689933136149415,8.0,Lafarge SA,Lafarge Zementwerke GmbH,Retznei,Austria,Cement,269972.0,495451.61,481.68,72.25,46.728058,15.58,0.48484848484848486,medium,0.8964765230210877
