source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,gas,activity_units,capacity_units,emissions_factor,emissions_factor_units,temporal_granularity,year,months_reported,annual_output_t,annual_emissions_co2e_t,avg_monthly_capacity_t,avg_capacity_factor
44375411,Corner Brook Pulp & Paper Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,48.9555025,-57.948563,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375397,Domtar Inc. - Dryden Mill,Chemical wood pulp; Pulp from fibres other than wood,CAN,manufacturing,pulp-and-paper,49.7818402,-92.8432058,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375412,Edmundston Pulp Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,47.368645,-68.332031,co2e_100yr,t of pulp & paper,t of pulp & paper,0.58099999998673,t of CO2e_100yr per t of pulp & paper,month,2024,12,106771.804782,62034.418578000004,9565.703788,0.9301616060546308
44375402,Fortress Specialty Cellulose Pulp Mill,Chemical wood pulp,CAN,manufacturing,pulp-and-paper,45.5982107,-75.2575125,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375378,Global Cellulose Fibers - Grande Prairie Mill - International Paper,Chemical wood pulp; Pulp from fibres other than wood,CAN,manufacturing,pulp-and-paper,55.1416794,-118.7687465,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375413,Hinton Kraft Pulp Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,53.41375,-117.570026,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999985954,t of CO2e_100yr per t of pulp & paper,month,2024,12,115160.063826,66907.997082,10317.209314,0.9301616060484094
44375379,Hinton Pulp Mill,Chemical wood pulp; Pulp from fibres other than wood,CAN,manufacturing,pulp-and-paper,53.413713,-117.564445,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375414,Kamloops Kraft Pulp Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,50.690633,-120.407285,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999862424,t of CO2e_100yr per t of pulp & paper,month,2024,12,187941.22417,109193.851237,16837.685599166667,0.9301616061481853
44375384,Kruger Products - Kamloops Mill,Chemical wood pulp; Mechanical and semi-chemical wood pulp; Pulp from fibres other than wood,CAN,manufacturing,pulp-and-paper,50.6882353,-120.3992916,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000145419,t of CO2e_100yr per t of pulp & paper,month,2024,12,170496.77766,99058.627843,15274.834734166667,0.9301616058219825
44375415,La Tuque Pulp & Paper Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,47.446996,-72.790112,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
