source_name,source_id,system:index,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2
Elena Fashion Ltd,38475612,00000000000000000081,67.06005931207608,,50.63822733955535,163.2779174250055,117.06108305275949,2.114406706737563,,4.000827599490896,0.048209277282714846,,0.0
Elit Jsc.,38479162,00000000000000000082,74.6765940930877,0.09830110870361328,49.70174205695129,363.80104119219146,10.44906417417088,0.13048661255959904,,0.3716853997886508,0.16412848596813723,,
Et Boris-Burov 2878,38479234,00000000000000000083,13.747776710157689,3.687406695254337,23.82325374486897,36.54806262899385,10.515261291597257,0.0970815259399414,,0.1247496314086914,0.04180125567626953,,
Et Vasti 2 -Rosen Mitov,38479237,00000000000000000084,9.687762467081468,0.8672681037030389,27.44148180130974,29.76974922037569,8.549793595718205,0.35653362957763673,,0.4707947881469727,0.007400208190917969,,
Fashco Fashion Service Company Ltd,38479333,00000000000000000085,36.790528967614996,0.010455008911132813,19.052799016181027,201.31317245695126,7.695517116174797,0.027431747131347658,,0.7709132662353516,0.13584668591308593,,
Fashion Mania,38470276,00000000000000000086,54.803102314265246,0.1341283024291992,31.836141130234186,303.1731664484571,19.825738250554103,0.28086603445997055,,0.7358749643808402,0.11238646875,,
Feshko Fashion Services Company Ood,38479419,00000000000000000087,0.0,0.0,0.0,0.0,0.0,0.0,,244.7894169213969,0.0,,
Geana Ltd.,38474505,00000000000000000088,16.453131368709556,,14.395827894516172,151.1755372408155,12.961153994112149,0.09019583627498852,,6.184335307468071,0.796564858199056,,
Greek Style,38477463,00000000000000000089,9.457625478634823,0.8159751390107995,26.770617874731926,28.21913187432191,8.524489702662091,0.3558595533447266,,0.4707947881469727,0.007400208190917969,,
Hrisa Tekstil,38472264,0000000000000000008a,15.494118455946024,3.902372133932914,30.3107972845617,42.7792458242209,12.146712287350644,0.12939502655029297,,0.13080268359375,0.04180125567626953,,
Izi Company Ltd,38479722,0000000000000000008b,6.992600459602147,,6.848111775015554,34.98511928389993,8.46477222067393,0.06356150915527344,,4.7909982639229565,0.18481784469712206,,
Kalinel Ltd.,38471178,0000000000000000008c,26.78686723991819,,11.944574146127742,14.071359916684377,5.159834322525084,0.05006666888427734,,0.027666432983398437,,,
Karlsberg Bg Brewery,38480258,0000000000000000008d,14.018868226258283,0.0213809345703125,22.218177666732966,39.10152405878571,11.648102406247604,0.4949226794333066,,2.0119029003382067,0.026705472778320312,,
"Lukoil Neftohim Burgas, Burgas",40691242,0000000000000000008e,26.021058477022294,0.001986849426269531,44.416673755102046,318.6910233960361,31.699428204986926,0.9144441499633789,,17.72278670570737,5.467081973663211,,
Manchevi Eood,38480055,0000000000000000008f,23.12584737510387,0.015335349609375,36.6291275430604,154.84273954896693,4.184456445579619,0.07412775469970703,,0.28952891607666015,0.04402809460449219,,
Modelo Ltd.,38480171,00000000000000000090,12.86727933719243,0.02828840838623047,15.047744852683152,14.883484914734844,6.913305704731541,0.09221999865722656,,0.12721007159423828,,,
Nova Linia,38477988,00000000000000000091,16.453131368709556,,14.395827894516172,151.1755372408155,12.961153994112149,0.09019583627498852,,6.184335307468071,0.796564858199056,,
