iso3_country,year,technology,income_group,wb_region,capex_$/kw,fom_$/kw/yr,vom_$/mwh,lcoe_$/mwh,wacc_nominal,crf,annual_cost_$/kw/yr,data_source,capex_source,crf_source,proxy_peers,country_name
CUB,2030,PV fixed-axis,Unknown,Unknown,462.06,11.5,0,34.46,0.116335,0.124269,68.92,proxied,global_mean,irena,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Cuba
CYP,2025,PV fixed-axis,HIC,Europe & Central Asia,505.11,11.1583,0,41.62,0.070456,0.086163,54.68,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Cyprus
CYP,2030,PV fixed-axis,HIC,Europe & Central Asia,429.06,10.4559,0,35.54,0.070456,0.086163,47.42,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Cyprus
CZE,2025,PV fixed-axis,HIC,Europe & Central Asia,505.11,11.1583,0,41.62,0.058571,0.077168,50.14,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Czechia
CZE,2030,PV fixed-axis,HIC,Europe & Central Asia,429.06,10.4559,0,35.54,0.058571,0.077168,43.57,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Czechia
DEU,2025,PV fixed-axis,HIC,Europe & Central Asia,509.21,11.0117,0,44.69,0.034403,0.060282,41.71,bnef,bnef,irena,,Germany
DEU,2030,PV fixed-axis,HIC,Europe & Central Asia,424.78,10.3203,0,38.49,0.034403,0.060282,35.93,bnef,bnef,irena,,Germany
DJI,2025,PV fixed-axis,LMIC,Middle East & North Africa,457.05,8.6566,0,39.05,,0.220931,109.63,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Djibouti
DJI,2030,PV fixed-axis,LMIC,Middle East & North Africa,390.9,8.1074,0,29.11,,0.220931,94.47,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Djibouti
DMA,2025,PV fixed-axis,UMIC,Latin America & Caribbean,535.15,10.7181,0,43.04,,0.333547,189.21,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Dominica
DMA,2030,PV fixed-axis,UMIC,Latin America & Caribbean,427.3,10.0509,0,32.32,,0.333547,152.58,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Dominica
DNK,2025,PV fixed-axis,HIC,Europe & Central Asia,505.11,11.1583,0,41.62,0.041481,0.065018,44,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Denmark
DNK,2030,PV fixed-axis,HIC,Europe & Central Asia,429.06,10.4559,0,35.54,0.041481,0.065018,38.35,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Denmark
DOM,2025,PV fixed-axis,UMIC,Latin America & Caribbean,535.15,10.7181,0,43.04,0.09858,0.108967,69.03,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Dominican Republic
DOM,2030,PV fixed-axis,UMIC,Latin America & Caribbean,427.3,10.0509,0,32.32,0.09858,0.108967,56.61,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Dominican Republic
