subsector,nace_r2,geo,fossil_tj,biomass_tj,reliable,fossil_share,fossil_share_eu27,fossil_share_final
glass,C231,RO,2340.922,4.521,True,0.9980724323720508,0.9994199378915113,0.9980724323720508
glass,C231,RS,212.227,0.888,True,0.9958332355770358,0.9994199378915113,0.9958332355770358
glass,C231,SE,404.928,0.0,False,1.0,0.9994199378915113,0.9994199378915113
glass,C231,SI,839.212,0.0,False,1.0,0.9994199378915113,0.9994199378915113
glass,C231,SK,1440.3,0.0,True,1.0,0.9994199378915113,1.0
iron-and-steel,C241-C243_C2451_C2452,AT,27072.567,16.787,True,0.999380310065718,0.9972872366963533,0.999380310065718
iron-and-steel,C241-C243_C2451_C2452,BE,24442.0,0.0,False,1.0,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,BG,1939.0520000000001,0.137,True,0.9999293519094838,0.9972872366963533,0.9999293519094838
iron-and-steel,C241-C243_C2451_C2452,CY,0.116,1.164,True,0.090625,0.9972872366963533,0.090625
iron-and-steel,C241-C243_C2451_C2452,CZ,11883.114000000001,2.47,True,0.9997921852220304,0.9972872366963533,0.9997921852220304
iron-and-steel,C241-C243_C2451_C2452,DE,176501.122,2.0,True,0.9999886687556722,0.9972872366963533,0.9999886687556722
iron-and-steel,C241-C243_C2451_C2452,DK,2398.584,9.426,True,0.9960855644287192,0.9972872366963533,0.9960855644287192
iron-and-steel,C241-C243_C2451_C2452,EE,9.319,1.693,True,0.8462586269524156,0.9972872366963533,0.8462586269524156
iron-and-steel,C241-C243_C2451_C2452,EL,1237.487,0.0,True,1.0,0.9972872366963533,1.0
iron-and-steel,C241-C243_C2451_C2452,ES,37257.490999999995,40.025,True,0.9989268722346013,0.9972872366963533,0.9989268722346013
iron-and-steel,C241-C243_C2451_C2452,EU27,507064.629,1379.288,True,0.9972872366963533,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,FI,10627.472,0.0,True,1.0,0.9972872366963533,1.0
iron-and-steel,C241-C243_C2451_C2452,FR,25896.006,1046.614,True,0.9611539634972397,0.9972872366963533,0.9611539634972397
iron-and-steel,C241-C243_C2451_C2452,HR,262.682,0.0,True,1.0,0.9972872366963533,1.0
iron-and-steel,C241-C243_C2451_C2452,HU,1013.395,11.0,True,0.9892619546171154,0.9972872366963533,0.9892619546171154
iron-and-steel,C241-C243_C2451_C2452,IE,0.0,0.0,False,,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,IT,71074.66,0.111,True,0.9999984382644018,0.9972872366963533,0.9999984382644018
iron-and-steel,C241-C243_C2451_C2452,LT,0.0,1.0,True,0.0,0.9972872366963533,0.0
iron-and-steel,C241-C243_C2451_C2452,LU,4026.3889999999997,0.0,False,1.0,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,LV,4.312,7.065,True,0.3790102839061264,0.9972872366963533,0.3790102839061264
iron-and-steel,C241-C243_C2451_C2452,MD,0.0,0.0,False,,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,ME,0.0,0.0,False,,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,MT,0.817,0.0,True,1.0,0.9972872366963533,1.0
iron-and-steel,C241-C243_C2451_C2452,NL,25603.892000000003,0.0,False,1.0,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,PL,33669.92,5.656,True,0.9998320444466933,0.9972872366963533,0.9998320444466933
iron-and-steel,C241-C243_C2451_C2452,PT,2464.139,0.544,True,0.9997792819603982,0.9972872366963533,0.9997792819603982
iron-and-steel,C241-C243_C2451_C2452,RO,11661.196,1.348,True,0.9998844162988796,0.9972872366963533,0.9998844162988796
iron-and-steel,C241-C243_C2451_C2452,RS,7817.64,0.0,True,1.0,0.9972872366963533,1.0
iron-and-steel,C241-C243_C2451_C2452,SE,10602.271,232.248,False,0.978564069157108,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,SI,2784.662,0.0,False,1.0,0.9972872366963533,0.9972872366963533
iron-and-steel,C241-C243_C2451_C2452,SK,24631.964,0.0,True,1.0,0.9972872366963533,1.0
lime,C235,AT,24558.540999999997,3598.556,True,0.8721971941922848,0.8413256574084468,0.8721971941922848
lime,C235,BE,14620.363000000001,4924.6,False,0.748037384363429,0.8413256574084468,0.8413256574084468
lime,C235,BG,6261.853,2594.541,False,0.7070431825865019,0.8413256574084468,0.8413256574084468
lime,C235,CY,4172.321,1198.405,True,0.7768635003908224,0.8413256574084468,0.7768635003908224
lime,C235,CZ,2383.813,0.0,False,1.0,0.8413256574084468,0.8413256574084468
lime,C235,DE,80715.477,16908.332,True,0.8268011443806705,0.8413256574084468,0.8268011443806705
lime,C235,DK,0.0,0.0,False,,0.8413256574084468,0.8413256574084468
lime,C235,EE,0.0,0.0,False,,0.8413256574084468,0.8413256574084468
lime,C235,EL,40.093,695.04,False,0.0545384304608826,0.8413256574084468,0.8413256574084468
lime,C235,ES,55308.288,14101.748,True,0.7968341638664473,0.8413256574084468,0.7968341638664473
lime,C235,EU27,395826.478,74653.026,True,0.8413256574084468,0.8413256574084468,0.8413256574084468
lime,C235,FI,3006.398,651.0,True,0.8220046054599472,0.8413256574084468,0.8220046054599472
lime,C235,FR,20273.922,6708.255,True,0.751381995603987,0.8413256574084468,0.751381995603987
lime,C235,HR,8380.826000000001,243.414,True,0.9717755999369219,0.8413256574084468,0.9717755999369219
lime,C235,HU,2313.402,2513.68,True,0.4792547547358839,0.8413256574084468,0.4792547547358839
lime,C235,IE,0.0,0.0,False,,0.8413256574084468,0.8413256574084468
lime,C235,IT,59015.575,10886.805,True,0.844257019575013,0.8413256574084468,0.844257019575013
lime,C235,LT,3410.954,770.0,True,0.8158315063978222,0.8413256574084468,0.8158315063978222
lime,C235,LU,90.45,0.0,False,1.0,0.8413256574084468,0.8413256574084468
lime,C235,LV,2253.297,1672.495,True,0.5739725894800336,0.8413256574084468,0.5739725894800336
lime,C235,MD,1909.845,2.7,False,0.9985882685113291,0.8413256574084468,0.8413256574084468
lime,C235,ME,0.0,0.0,False,,0.8413256574084468,0.8413256574084468
lime,C235,MT,0.0,0.0,False,,0.8413256574084468,0.8413256574084468
