sector,reference_twh,cc,bottom_up_twh,coverage_pct
Cement (+lime),8.544693992983232,IT,10.144197496325488,118.71926021757763
Ceramics & Glass,18.018240794111144,IT,2.5736908681250004,14.283807712050075
Chemicals,10.693524027080802,IT,8.325468766087557,77.85523972269323
"Food, Bev & Tobacco",11.245604847193352,IT,10.673457489089381,94.91225802543856
Non-ferrous Metals,2.5570860984108617,IT,0.0,0.0
Pulp & Paper,20.223474883483863,IT,0.8699147916369167,4.301509986037859
Steel,11.42817403130416,IT,11.75916371068778,102.89626040412905
Textiles & Leather,3.4915242992501296,IT,5.257979132480285,150.5926547213071
Cement (+lime),0.6196193833820779,LT,0.2634926578946667,42.524921744126324
Ceramics & Glass,0.1504545096157786,LT,0.052361375625000005,34.80213106188524
Chemicals,1.6797201057868025,LT,0.9517499999999998,56.66122568403668
"Food, Bev & Tobacco",0.6534134163881744,LT,0.6534134163881744,100.0
Non-ferrous Metals,0.0,LT,0.0,
Pulp & Paper,0.2591429175784396,LT,0.0,0.0
Steel,0.0,LT,0.0,
Textiles & Leather,0.11388267501195731,LT,0.14932100095713063,131.11827671895873
Cement (+lime),0.43544711919540935,LU,0.01423833044722666,3.26981849679826
Ceramics & Glass,0.2246652197217719,LU,0.355874991875,158.40235187080575
Chemicals,0.0,LU,0.0,
"Food, Bev & Tobacco",0.060376211795416704,LU,0.0,0.0
Non-ferrous Metals,0.0,LU,0.0,
Pulp & Paper,0.0,LU,0.0,
Steel,0.8865602795824951,LU,0.8365041518670309,94.35389461176436
Textiles & Leather,0.0090481467706638,LU,0.0,0.0
Cement (+lime),0.4284835619041919,LV,0.2915934477082666,68.05242339109063
Ceramics & Glass,0.5007249336804894,LV,0.0,0.0
Chemicals,0.0264187927673396,LV,0.0,0.0
"Food, Bev & Tobacco",0.2880406892956757,LV,0.0,0.0
Non-ferrous Metals,0.0,LV,0.0,
Pulp & Paper,0.030548971607271,LV,0.0,0.0
Steel,0.0,LV,0.0,
Textiles & Leather,0.029659994454665998,LV,0.035763038516415435,120.57668645581735
Cement (+lime),0.0,MT,0.0,
Ceramics & Glass,0.0,MT,0.0,
Chemicals,0.0,MT,0.0,
"Food, Bev & Tobacco",0.019027359359784002,MT,0.0,0.0
Non-ferrous Metals,0.0,MT,0.0,
Pulp & Paper,0.0,MT,0.0,
Steel,0.0,MT,0.0,
Textiles & Leather,0.0047083098237814,MT,0.0,0.0
Cement (+lime),0.936190451597205,NL,0.0,0.0
Ceramics & Glass,2.062708759371397,NL,0.61091873375,29.617304477641103
Chemicals,40.7471282842683,NL,34.90066460126527,85.6518387204719
"Food, Bev & Tobacco",7.708882790699077,NL,7.708882790699075,99.99999999999999
Non-ferrous Metals,0.2987030686033144,NL,0.07280787348586809,24.37466539138869
Pulp & Paper,3.388280312967008,NL,0.0,0.0
Steel,4.104720290427648,NL,5.795260671989355,141.1852760224395
Textiles & Leather,0.3362465073384595,NL,0.44725074733333336,133.01275628809404
Cement (+lime),8.503302059596193,PL,3.716231991131332,43.70339857488033
Ceramics & Glass,7.328964545763561,PL,1.7490340075000002,23.86468097339907
Chemicals,8.130136105661206,PL,10.739674620833254,132.09710737013327
"Food, Bev & Tobacco",7.944902406400995,PL,7.436478997383975,93.60063367666545
Non-ferrous Metals,1.357575896835327,PL,0.0,0.0
Pulp & Paper,9.027588669136813,PL,3.971864747514999,43.99696190294827
Steel,6.636042893649808,PL,5.07387014438717,76.45927287845714
Textiles & Leather,0.4396496682241053,PL,0.6212958388592892,141.3161168456955
Cement (+lime),1.8910323730548801,PT,3.5841976674709795,189.53655783696948
Ceramics & Glass,3.2755209582301434,PT,0.31398424687499993,9.585780426349478
Chemicals,1.161095241703737,PT,3.195374832005285,275.2035076223842
"Food, Bev & Tobacco",1.554834211079328,PT,1.5548342110793278,99.99999999999997
Non-ferrous Metals,0.1063840061910521,PT,0.0,0.0
Pulp & Paper,7.818378745000831,PT,4.624329375089959,59.146909172784866
Steel,0.35789661474737877,PT,0.4956301677196119,138.4841731653294
Textiles & Leather,1.3291209303642124,PT,1.11613677755395,83.97556249814684
Cement (+lime),4.031656990401061,RO,3.561342087893692,88.33445147672192
Ceramics & Glass,1.5619882471278708,RO,0.213488949375,13.667769252909295
Chemicals,3.2202858658059097,RO,0.58594878,18.195551712405514
"Food, Bev & Tobacco",2.2019580640857317,RO,2.2019580640857317,100.0
Non-ferrous Metals,1.3405279931167207,RO,1.0764883515894461,80.30331012235084
Pulp & Paper,1.129409711420068,RO,0.0,0.0
Steel,4.166069199024663,RO,2.8479329488204086,68.36019309249954
Textiles & Leather,0.5078652142458152,RO,0.6072933372201478,119.57765962017783
Cement (+lime),0.9347842040027012,SE,1.270242672962628,135.88619357532033
Ceramics & Glass,0.4391277168365414,SE,0.068209375,15.532924109499994
Chemicals,1.9258617860016187,SE,4.328190160359,224.74043525963404
"Food, Bev & Tobacco",1.0870194053163897,SE,1.0870194053163897,100.0
Non-ferrous Metals,0.3627292699840815,SE,0.06185438972162742,17.052494750242218
